trialType,trial,purpleBet,response,betScaling,score,RT,nHits,pinkBet,exploded,confidence,ballColour,subjectID
trial,1,,1,,0,2233.7999999999956,0,,False,0.5,grey,1gfPXeiIe6W3NmamHu6phX2lrno1
trial,2,,1,,-50,1117.5,0,,True,0.5,grey,1gfPXeiIe6W3NmamHu6phX2lrno1
trial,3,,1,,-100,8165.5999999999985,0,,True,0.5,grey,1gfPXeiIe6W3NmamHu6phX2lrno1
trial,4,,1,,-150,3216.0,0,,True,0.5,grey,1gfPXeiIe6W3NmamHu6phX2lrno1
trial,5,,2,,-200,2249.199999999997,0,,True,0.5,grey,1gfPXeiIe6W3NmamHu6phX2lrno1
trial,6,,2,,-100,2466.0999999999985,1,,False,0.5,grey,1gfPXeiIe6W3NmamHu6phX2lrno1
trial,7,,2,,0,2648.9999999999927,2,,False,0.5,grey,1gfPXeiIe6W3NmamHu6phX2lrno1
trial,8,,2,,100,2066.399999999994,3,,False,0.5,grey,1gfPXeiIe6W3NmamHu6phX2lrno1
trial,9,,1,,200,2233.300000000003,4,,False,0.5,grey,1gfPXeiIe6W3NmamHu6phX2lrno1
trial,10,,1,,300,2999.800000000003,5,,False,0.5,grey,1gfPXeiIe6W3NmamHu6phX2lrno1
trial,11,,1,,300,4199.900000000009,5,,False,0.5,grey,1gfPXeiIe6W3NmamHu6phX2lrno1
trial,12,,2,,400,2334.399999999994,6,,False,0.5,grey,1gfPXeiIe6W3NmamHu6phX2lrno1
trial,13,,1,,350,2067.4000000000087,6,,True,0.5,grey,1gfPXeiIe6W3NmamHu6phX2lrno1
trial,14,,2,,450,1299.8999999999942,7,,False,0.5,grey,1gfPXeiIe6W3NmamHu6phX2lrno1
trial,15,,2,,550,3450.899999999994,8,,False,0.5,grey,1gfPXeiIe6W3NmamHu6phX2lrno1
trial,16,,1,,500,1983.699999999997,8,,True,0.5,grey,1gfPXeiIe6W3NmamHu6phX2lrno1
trial,17,,2,,600,1867.0,9,,False,0.5,grey,1gfPXeiIe6W3NmamHu6phX2lrno1
trial,18,,1,,550,3283.300000000003,9,,True,0.5,grey,1gfPXeiIe6W3NmamHu6phX2lrno1
trial,19,,2,,500,899.3000000000029,9,,True,0.5,grey,1gfPXeiIe6W3NmamHu6phX2lrno1
trial,20,,1,,450,3116.4000000000087,9,,True,0.5,grey,1gfPXeiIe6W3NmamHu6phX2lrno1
trial,21,,2,,400,1133.0999999999913,9,,True,0.5,grey,1gfPXeiIe6W3NmamHu6phX2lrno1
trial,22,,1,,500,3850.9000000000087,10,,False,0.5,grey,1gfPXeiIe6W3NmamHu6phX2lrno1
trial,23,,2,,450,3583.0,10,,True,0.5,grey,1gfPXeiIe6W3NmamHu6phX2lrno1
trial,24,,1,,400,2250.0,10,,True,0.5,grey,1gfPXeiIe6W3NmamHu6phX2lrno1
trial,25,,2,,350,1082.2999999999884,10,,True,0.5,grey,1gfPXeiIe6W3NmamHu6phX2lrno1
trial,26,,1,,450,1233.7000000000116,11,,False,0.5,grey,1gfPXeiIe6W3NmamHu6phX2lrno1
trial,27,,1,,400,1950.6999999999825,11,,True,0.5,grey,1gfPXeiIe6W3NmamHu6phX2lrno1
trial,28,,2,,350,983.1999999999825,11,,True,0.5,grey,1gfPXeiIe6W3NmamHu6phX2lrno1
trial,29,,2,,300,948.8999999999942,11,,True,0.5,grey,1gfPXeiIe6W3NmamHu6phX2lrno1
trial,30,,2,,400,717.5,12,,False,0.5,grey,1gfPXeiIe6W3NmamHu6phX2lrno1
trial,31,,1,,350,1433.0,12,,True,0.5,grey,1gfPXeiIe6W3NmamHu6phX2lrno1
trial,32,,2,,300,1365.7000000000116,12,,True,0.5,grey,1gfPXeiIe6W3NmamHu6phX2lrno1
trial,33,,2,,250,817.6000000000058,12,,True,0.5,grey,1gfPXeiIe6W3NmamHu6phX2lrno1
trial,34,,2,,200,649.1000000000058,12,,True,0.5,grey,1gfPXeiIe6W3NmamHu6phX2lrno1
trial,35,,1,,300,1066.1000000000058,13,,False,0.5,grey,1gfPXeiIe6W3NmamHu6phX2lrno1
trial,36,,1,,250,1699.1999999999825,13,,True,0.5,grey,1gfPXeiIe6W3NmamHu6phX2lrno1
trial,37,,1,,350,1217.3000000000175,14,,False,0.5,grey,1gfPXeiIe6W3NmamHu6phX2lrno1
trial,38,,1,,450,2001.0,15,,False,0.5,grey,1gfPXeiIe6W3NmamHu6phX2lrno1
trial,39,,1,,550,1683.3000000000175,16,,False,0.5,grey,1gfPXeiIe6W3NmamHu6phX2lrno1
trial,40,,1,,500,1866.2999999999884,16,,True,0.5,grey,1gfPXeiIe6W3NmamHu6phX2lrno1
trial,41,,1,,450,1049.8999999999942,16,,True,0.5,grey,1gfPXeiIe6W3NmamHu6phX2lrno1
trial,42,,1,,400,0.0,16,,True,0.5,grey,1gfPXeiIe6W3NmamHu6phX2lrno1
trial,43,,1,,350,1532.6000000000058,16,,True,0.5,grey,1gfPXeiIe6W3NmamHu6phX2lrno1
trial,44,,2,,450,1166.5,17,,False,0.5,grey,1gfPXeiIe6W3NmamHu6phX2lrno1
