Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
6684192ebf24d70eb1605933,6634e135e21f434b89972882,APPROVED,Not Applicable,2024-07-02T15:13:54.167000Z,2024-07-02T15:21:14.242000Z,2024-07-02T15:23:59.775000Z,2024-07-02T15:23:24.964871Z,441,CC6FNRFD,18,25,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
6684193321d181965807188e,6668530556a72cfa65ac7468,APPROVED,Not Applicable,2024-07-02T15:14:00.866000Z,2024-07-02T15:22:53.605000Z,2024-07-02T15:24:48.236000Z,2024-07-02T15:23:58.029358Z,533,CC6FNRFD,2,29,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,DATA_EXPIRED
668419594743ffcc3c24dcec,659c01a31e2654a3ef5f7eb6,APPROVED,Not Applicable,2024-07-02T15:14:44.423000Z,2024-07-02T15:26:02.261000Z,2024-07-02T15:26:03.395000Z,2024-07-02T15:26:16.836983Z,678,CC6FNRFD,4,41,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,DATA_EXPIRED
668419742c39cb85ab692f7e,6658b1db10a2740f4cb35711,APPROVED,Not Applicable,2024-07-02T15:15:17.016000Z,2024-07-02T15:25:53.919000Z,2024-07-02T15:25:54.656000Z,2024-07-02T15:26:06.365410Z,637,CC6FNRFD,0,21,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
668419a32f288e7a27d91364,630390a342ae232220e6034c,APPROVED,Not Applicable,2024-07-02T15:15:52.435000Z,2024-07-02T15:27:21.746000Z,2024-07-02T15:27:22.627000Z,2024-07-02T15:27:39.373967Z,690,CC6FNRFD,93,44,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Unemployed (and job seeking)
668419bcaf7c8acb5f50e5f5,5eafe6dbe612c102dd01c038,APPROVED,Not Applicable,2024-07-02T15:16:17.217000Z,2024-07-02T15:23:18.331000Z,2024-07-02T15:24:51.853000Z,2024-07-02T15:24:03.464197Z,422,CC6FNRFD,584,23,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
668419db05ee5eb1c4e18ca4,5b1fc2ef4c72120001f249b3,APPROVED,Not Applicable,2024-07-02T15:16:49.977000Z,2024-07-02T15:26:43.987000Z,2024-07-02T15:26:44.987000Z,2024-07-02T15:27:06.509675Z,595,CC6FNRFD,87,30,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
668419de8002e9cac4c47746,63e53d221378e79986348a3a,APPROVED,Not Applicable,2024-07-02T15:16:50.064000Z,2024-07-02T15:23:42.918000Z,2024-07-02T15:24:56.025000Z,2024-07-02T15:24:10.185254Z,413,CC6FNRFD,385,19,Male,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Unemployed (and job seeking)
668419ec760770b2617b7a33,603abe4c7a63f571e950a02b,APPROVED,Not Applicable,2024-07-02T15:17:08.867000Z,2024-07-02T15:25:38.526000Z,2024-07-02T15:25:49.706000Z,2024-07-02T15:25:53.854621Z,510,CC6FNRFD,203,24,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
668419f6ba4da2734d54d19f,667577045adde9abb74a390d,APPROVED,Not Applicable,2024-07-02T15:17:15.078000Z,2024-07-02T15:25:17.437000Z,2024-07-02T15:25:30.528000Z,2024-07-02T15:25:31.153913Z,483,CC6FNRFD,4,29,Female,White,France,United Kingdom,United Kingdom,English,No,Full-Time
